localidad,departamento
Monte Flores,Rosario
Pérez,Rosario
Piñero,Rosario
Pueblo Esther,Rosario
Pueblo Muñóz,Rosario
Pueblo Uranga,Rosario
Puerto Arroyo Seco,Rosario
Rosario,Rosario
Soldini,Rosario
Villa Amelia,Rosario
Villa del Plata,Rosario
Villa Gobernador Gálvez,Rosario
Zavalla,Rosario
Aguará Grande,San Cristóbal
Ambrosetti,San Cristóbal
Arrufo,San Cristóbal
Balneario La Verde,San Cristóbal
Capivara,San Cristóbal
Ceres,San Cristóbal
Colonia Ana,San Cristóbal
Colonia Bossi,San Cristóbal
Colonia Rosa,San Cristóbal
Constanza,San Cristóbal
Curupaytí,San Cristóbal
Hersilia,San Cristóbal
Huanqueros,San Cristóbal
La Cabral,San Cristóbal
La Lucila,San Cristóbal
La Rubia,San Cristóbal
Las Avispas,San Cristóbal
Las Palmeras,San Cristóbal
Moisés Ville,San Cristóbal
Monigotes,San Cristóbal
Ñanducita,San Cristóbal
Palacios,San Cristóbal
San Cristóbal,San Cristóbal
San Guillermo,San Cristóbal
Santurce,San Cristóbal
Soledad,San Cristóbal
Suardi,San Cristóbal
Villa Saralegui,San Cristóbal
Villa Trinidad,San Cristóbal
Alejandra,San Javier
Cacique Ariacaiquín,San Javier
Colonia Durán,San Javier
La Brava,San Javier
Romang,San Javier
San Javier,San Javier
Arocena,San Jerónimo
Balneario Monje,San Jerónimo
Barrancas,San Jerónimo
Barrio Caima,San Jerónimo
Barrio El Pacaá - Barrio Comipini,San Jerónimo
Bernardo de Irigoyen,San Jerónimo
Casalegno,San Jerónimo
Centeno,San Jerónimo
Coronda,San Jerónimo
Desvío Arijón,San Jerónimo
Díaz,San Jerónimo
Gaboto,San Jerónimo
Gálvez,San Jerónimo
Gessler,San Jerónimo
Irigoyen,San Jerónimo
Larrechea,San Jerónimo
Loma Alta,San Jerónimo
López,San Jerónimo
Maciel,San Jerónimo
Monje,San Jerónimo
Puerto Aragón,San Jerónimo
San Eugenio,San Jerónimo
San Fabián,San Jerónimo
San Genaro,San Jerónimo
San Genaro Norte,San Jerónimo
Angeloni,San Justo
Cayastacito,San Justo
Colonia Dolores,San Justo
Esther,San Justo
Gobernador Crespo,San Justo
La Criolla,San Justo
La Penca y Caraguatá,San Justo
Marcelino Escalada,San Justo
Naré,San Justo
Pedro Gómez Cello,San Justo
Ramayón,San Justo
San Bernardo,San Justo
San Justo,San Justo
San Martín Norte,San Justo
Silva,San Justo
Vera y Pintado,San Justo
Videla,San Justo
Aldao,San Lorenzo
Capitán Bermúdez,San Lorenzo
Carcarañá,San Lorenzo
Coronel Arnold,San Lorenzo
Fray Luis Beltrán,San Lorenzo
Fuentes,San Lorenzo
Luis Palacios,San Lorenzo
Puerto General San Martín,San Lorenzo
Pujato,San Lorenzo
Ricardone,San Lorenzo
Roldán,San Lorenzo
San Jerónimo Sud,San Lorenzo
San Lorenzo,San Lorenzo
Timbúes,San Lorenzo
Villa Elvira,San Lorenzo
Villa Mugueta,San Lorenzo
Cañada Rosquín,San Martín
Carlos Pellegrini,San Martín
Casas,San Martín
Castelar,San Martín
Colonia Belgrano,San Martín
Crispi,San Martín
El Trébol,San Martín
Landeta,San Martín
Las Bandurrias,San Martín
Las Petacas,San Martín
Los Cardos,San Martín
María Susana,San Martín
Piamonte,San Martín
San Jorge,San Martín
San Martín de las Escobas,San Martín
Sastre,San Martín
Traill,San Martín
Wildermuth,San Martín
Calchaquí,Vera
Cañada Ombú,Vera
Colmena,Vera
Fortín Olmos,Vera
Garabato,Vera
Golondrina,Vera
Intiyaco,Vera
Kilómetro 115,Vera
La Gallareta,Vera
Los Amores,Vera
Margarita,Vera
Paraje 29,Vera
Pozo de los Indios,Vera
Pueblo Santa Lucía,Vera
Tartagal,Vera
Toba,Vera
Vera,Vera
